Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
AGLD-USDC,Adventure Gold,0.8775,-1.81268882175227,AGLD,USDC
AGLD-USD,Adventure Gold,0.8775,-1.81268882175227,AGLD,USD
XTZ-EUR,Tezos,0.54,-1.81818181818182,XTZ,EUR
AXL-USD,Axelar,0.3494,-1.82635571789829,AXL,USD
AXL-USDC,Axelar,0.3494,-1.82635571789829,AXL,USDC
RPL-USDC,Rocket Pool,4.73,-1.86721991701245,RPL,USDC
RPL-USD,Rocket Pool,4.73,-1.86721991701245,RPL,USD
SUSHI-USDC,SushiSwap,0.7171,-1.87465790914067,SUSHI,USDC
SUSHI-USD,SushiSwap,0.7171,-1.87465790914067,SUSHI,USD
BLZ-USDC,Bluzelle,0.0414,-1.8957345971564,BLZ,USDC
BLZ-USD,Bluzelle,0.0414,-1.8957345971564,BLZ,USD
BIGTIME-USD,Big Time,0.07184,-1.89812918202922,BIGTIME,USD
BIGTIME-USDC,Big Time,0.07184,-1.89812918202922,BIGTIME,USDC
GRT-BTC,The Graph,0.000001,-1.96078431372549,GRT,BTC
AVAX-BTC,Avalanche,0.00021011,-1.98721836077809,AVAX,BTC
AVAX-EUR,Avalanche,20.17,-1.99222546161322,AVAX,EUR
NEAR-USDT,NEAR Protocol,2.739,-2.00357781753131,NEAR,USDT
FIL-EUR,Filecoin,2.44,-2.00803212851406,FIL,EUR
AVAX-USD,Avalanche,22.96,-2.08955223880597,AVAX,USD
AVAX-USDC,Avalanche,22.96,-2.08955223880597,AVAX,USDC
COW-USDC,CoW Protocol,0.3961,-2.10084033613445,COW,USDC
COW-USD,CoW Protocol,0.3961,-2.10084033613445,COW,USD
POL-USDC,Polygon Ecosystem Token,0.23,-2.12765957446809,POL,USDC
POL-USD,Polygon Ecosystem Token,0.23,-2.12765957446809,POL,USD
REQ-USD,Request,0.1423,-2.13204951856946,REQ,USD
REQ-USDC,Request,0.1423,-2.13204951856946,REQ,USDC
TRU-USD,TrueFi,0.0409,-2.15311004784689,TRU,USD
TRU-USDC,TrueFi,0.0409,-2.15311004784689,TRU,USDC
BAT-USD,Basic Attention Token,0.14019,-2.18392408596148,BAT,USD
BAT-USDC,Basic Attention Token,0.14019,-2.18392408596148,BAT,USDC
ANKR-EUR,Ankr,0.01575,-2.23463687150838,ANKR,EUR
FLOW-USD,Flow,0.391,-2.25,FLOW,USD
FLOW-USDC,Flow,0.391,-2.25,FLOW,USDC
B3-USD,B3 (Base),0.004547,-2.25709372312984,B3,USD
B3-USDC,B3 (Base),0.004547,-2.25709372312984,B3,USDC
AVAX-USDT,Avalanche,22.9,-2.26205719163466,AVAX,USDT
MINA-EUR,Mina,0.216,-2.26244343891403,MINA,EUR
BAT-BTC,Basic Attention Token,0.00000129,-2.27272727272727,BAT,BTC
